mm7412 ENSMUSG00000040471
mm12154 ENSMUSG00000038903
mm12155 ENSMUSG00000052825 ENSMUSG00000027594
mm12156 ENSMUSG00000067212
mm12157 ENSMUSG00000055298
mm12150 ENSMUSG00000061616
mm12151 ENSMUSG00000029524
mm12152 ENSMUSG00000019528
mm12153 ENSMUSG00000050234
mm12158 ENSMUSG00000055875
mm12159 ENSMUSG00000026849
mm16644 ENSMUSG00000054502
mm16645 ENSMUSG00000063157
mm16646 ENSMUSG00000024461
mm16647 ENSMUSG00000028670
mm16640 ENSMUSG00000037243
mm16641 ENSMUSG00000020808
mm16642 ENSMUSG00000051453
mm16643 ENSMUSG00000058728
mm16648 ENSMUSG00000028003
mm16649 ENSMUSG00000057054
mm17063 ENSMUSG00000009214
mm17062 ENSMUSG00000022294
mm17061 ENSMUSG00000025934
mm17060 ENSMUSG00000027858
mm17067 ENSMUSG00000030365
mm17066 ENSMUSG00000032353
mm17065 ENSMUSG00000059613
mm17064 ENSMUSG00000045282
mm17069 ENSMUSG00000037677
mm17068 ENSMUSG00000051705
mm23352 ENSMUSG00000067857
mm23353 ENSMUSG00000068725
mm23350 ENSMUSG00000067861
mm23351 ENSMUSG00000067792
mm23356 ENSMUSG00000043004 DIP:586N
mm23357 ENSMUSG00000067333
mm23354 ENSMUSG00000067807
mm23355 ENSMUSG00000012422
mm23358 ENSMUSG00000034345
mm23359 ENSMUSG00000006570
mm22401 ENSMUSG00000048280
mm22400 ENSMUSG00000058549
mm22403 ENSMUSG00000060915
mm22402 ENSMUSG00000066998
mm22405 ENSMUSG00000054714
mm22404 ENSMUSG00000022591
mm22407 ENSMUSG00000053603
mm22406 ENSMUSG00000066433
mm22409 ENSMUSG00000047363
mm22408 ENSMUSG00000055489
mm22315 ENSMUSG00000062038 ENSMUSG00000063694 ENSMUSG00000058927
mm22314 ENSMUSG00000056580
mm17687 ENSMUSG00000036169
mm17686 ENSMUSG00000041679
mm17685 ENSMUSG00000045394
mm17684 ENSMUSG00000053229
mm17683 ENSMUSG00000040466
mm17682 ENSMUSG00000062396
mm17681 ENSMUSG00000006715
mm17680 ENSMUSG00000060271
mm17689 ENSMUSG00000046942 ENSMUSG00000064018
mm17688 ENSMUSG00000035799
mm22319 ENSMUSG00000053775
mm22318 ENSMUSG00000063080
mm14088 ENSMUSG00000028592
mm14089 ENSMUSG00000028427
mm14084 ENSMUSG00000006134
mm14085 ENSMUSG00000020308
mm14086 ENSMUSG00000034278
mm14087 ENSMUSG00000040963
mm14080 ENSMUSG00000069567
mm14081 ENSMUSG00000045259
mm14082 ENSMUSG00000024763
mm14083 ENSMUSG00000052331
mm18857 ENSMUSG00000035825
mm18856 ENSMUSG00000026929
mm18855 ENSMUSG00000067882
mm18854 ENSMUSG00000030777
mm18853 ENSMUSG00000067171
mm18852 ENSMUSG00000008813
mm18851 ENSMUSG00000019816
mm18850 ENSMUSG00000030054
mm18859 ENSMUSG00000016524
mm18858 ENSMUSG00000063034
mm19102 ENSMUSG00000044306
mm15680 ENSMUSG00000032134
mm15683 ENSMUSG00000057405
mm19101 ENSMUSG00000039413
mm15685 ENSMUSG00000026381
mm15684 ENSMUSG00000063818
mm15687 ENSMUSG00000038442
mm19105 ENSMUSG00000042462
mm15689 ENSMUSG00000051225
mm15688 ENSMUSG00000053040 ENSMUSG00000032375
mm19108 ENSMUSG00000069847
mm19109 ENSMUSG00000027239
mm15359 ENSMUSG00000054679
mm15358 ENSMUSG00000053329
mm15353 ENSMUSG00000029030
mm15352 ENSMUSG00000031982
mm15351 ENSMUSG00000034472
mm15350 ENSMUSG00000026798
mm15357 ENSMUSG00000023031
mm15356 ENSMUSG00000069414
mm15355 ENSMUSG00000027215
mm15354 ENSMUSG00000054836
mm188 ENSMUSG00000024236
mm189 ENSMUSG00000039683
mm182 ENSMUSG00000066915
mm183 ENSMUSG00000059049
mm180 ENSMUSG00000049313
mm181 ENSMUSG00000018076
mm186 ENSMUSG00000027867
mm187 ENSMUSG00000034297
mm184 ENSMUSG00000061315
mm185 ENSMUSG00000026579
mm21462 ENSMUSG00000045684
mm21463 ENSMUSG00000043145
mm21460 ENSMUSG00000066303
mm21461 ENSMUSG00000050936
mm21466 ENSMUSG00000062885
mm21467 ENSMUSG00000052856
mm21464 ENSMUSG00000020083
mm21465 ENSMUSG00000062889
mm21468 ENSMUSG00000057943
mm21469 ENSMUSG00000051636
mm20731 ENSMUSG00000063816
mm20730 ENSMUSG00000060444
mm20733 ENSMUSG00000066090
mm20732 ENSMUSG00000044678
mm20735 ENSMUSG00000057100
mm20734 ENSMUSG00000046500
mm20737 ENSMUSG00000041132
mm20736 ENSMUSG00000058564
mm20739 ENSMUSG00000040175
mm20738 ENSMUSG00000038065
mm230 ENSMUSG00000018474
mm231 ENSMUSG00000028402
mm232 ENSMUSG00000029516
mm233 ENSMUSG00000000631
mm234 ENSMUSG00000041720
mm235 ENSMUSG00000031386
mm236 ENSMUSG00000057003
mm237 ENSMUSG00000035181
mm238 ENSMUSG00000034282
mm239 ENSMUSG00000039716
mm18743 ENSMUSG00000069689
mm18742 ENSMUSG00000021877
mm18741 ENSMUSG00000050697
mm18740 ENSMUSG00000062298
mm18747 ENSMUSG00000056524
mm18746 ENSMUSG00000020440
mm2381 ENSMUSG00000036435
mm2380 ENSMUSG00000023411
mm2383 ENSMUSG00000028089
mm2382 ENSMUSG00000046933
mm2385 ENSMUSG00000006457
mm18745 ENSMUSG00000025805
mm2387 ENSMUSG00000034647
mm2386 ENSMUSG00000045252
mm2389 ENSMUSG00000047248
mm2388 ENSMUSG00000025225
mm18744 ENSMUSG00000036013
mm11133 ENSMUSG00000037034
mm11132 ENSMUSG00000033629
mm11131 ENSMUSG00000060078
mm11130 ENSMUSG00000056413
mm11137 ENSMUSG00000032623
mm11136 ENSMUSG00000032126
mm11135 ENSMUSG00000034744
mm11134 ENSMUSG00000029076
mm3265 ENSMUSG00000055363
mm3264 ENSMUSG00000067752
mm11139 ENSMUSG00000002105
mm11138 ENSMUSG00000044359
mm3261 ENSMUSG00000031753
mm3260 ENSMUSG00000034684
mm3263 ENSMUSG00000022755
mm3262 ENSMUSG00000028703
mm11689 ENSMUSG00000060830
mm11688 ENSMUSG00000023978
mm11685 ENSMUSG00000031070
mm11684 ENSMUSG00000042502
mm11687 ENSMUSG00000042997
mm11686 ENSMUSG00000020775
mm11681 ENSMUSG00000038005
mm11680 ENSMUSG00000061728
mm11683 ENSMUSG00000046253
mm11682 ENSMUSG00000031521
mm16482 ENSMUSG00000040722
mm16483 ENSMUSG00000061286
mm16480 ENSMUSG00000034127
mm16481 ENSMUSG00000067272 ENSMUSG00000069258
mm16486 ENSMUSG00000036027
mm16487 ENSMUSG00000057335
mm16484 ENSMUSG00000043015
mm16485 ENSMUSG00000069766
mm16488 ENSMUSG00000067103
mm16489 ENSMUSG00000042459
mm9652 ENSMUSG00000025190
mm9653 ENSMUSG00000031701
mm9650 ENSMUSG00000014232
mm9651 ENSMUSG00000024037
mm2600 ENSMUSG00000022020
mm2601 ENSMUSG00000038143
mm2602 ENSMUSG00000006527
mm2603 ENSMUSG00000029826
mm9658 ENSMUSG00000042875
mm9659 ENSMUSG00000022102
mm2608 ENSMUSG00000024182
mm2609 ENSMUSG00000069802
mm7548 ENSMUSG00000048424
mm7549 ENSMUSG00000067144
mm7544 ENSMUSG00000067008
mm7545 ENSMUSG00000032988
mm7546 ENSMUSG00000044316
mm7547 ENSMUSG00000035770
mm7540 ENSMUSG00000000901
mm7541 ENSMUSG00000031343
mm7542 ENSMUSG00000038732
mm7543 ENSMUSG00000045283
mm23110 ENSMUSG00000068827
mm18152 ENSMUSG00000032671
mm23112 ENSMUSG00000015575
mm23113 ENSMUSG00000069350
mm23114 ENSMUSG00000055862
mm23115 ENSMUSG00000066815
mm23116 ENSMUSG00000066410
mm23117 ENSMUSG00000068571
mm23118 ENSMUSG00000057773
mm23119 ENSMUSG00000066048
mm18150 ENSMUSG00000046108
mm18151 ENSMUSG00000037503
mm22649 ENSMUSG00000045989
mm22648 ENSMUSG00000053593
mm22647 ENSMUSG00000066781 ENSMUSG00000066653 ENSMUSG00000068094 ENSMUSG00000067073
mm22646 ENSMUSG00000017000
mm22645 ENSMUSG00000021508
mm22644 ENSMUSG00000040803
mm22643 ENSMUSG00000062035
mm22642 ENSMUSG00000050334
mm22641 ENSMUSG00000038300
mm22640 ENSMUSG00000052714
mm12569 ENSMUSG00000031171
mm14477 ENSMUSG00000043144
mm12565 ENSMUSG00000046162
mm12564 ENSMUSG00000068037
mm12567 ENSMUSG00000035238
mm12566 ENSMUSG00000035959
mm12561 ENSMUSG00000066414
mm12560 ENSMUSG00000039095
mm12563 ENSMUSG00000026735
mm12562 ENSMUSG00000043542
mm5375 ENSMUSG00000039396
mm5374 ENSMUSG00000035236
mm5377 ENSMUSG00000039552
mm5376 ENSMUSG00000032334
mm5371 ENSMUSG00000055707
mm5370 ENSMUSG00000062193
mm5373 ENSMUSG00000042510
mm5372 ENSMUSG00000038943
mm5379 ENSMUSG00000054932
mm5378 ENSMUSG00000005103
mm22399 ENSMUSG00000042306
mm22398 ENSMUSG00000066300
mm22391 ENSMUSG00000042712
mm22390 ENSMUSG00000068463
mm22393 ENSMUSG00000055046
mm22392 ENSMUSG00000035352
mm22395 ENSMUSG00000030664
mm22394 ENSMUSG00000068585
mm22397 ENSMUSG00000038091
mm22396 ENSMUSG00000054589
mm11915 ENSMUSG00000051956
mm11914 ENSMUSG00000001819
mm11917 ENSMUSG00000032231
mm11916 ENSMUSG00000046417
mm11911 ENSMUSG00000038975
mm11910 ENSMUSG00000054374
mm11913 ENSMUSG00000061337
mm11912 ENSMUSG00000027323
mm6635 ENSMUSG00000030041
mm6634 ENSMUSG00000027751
mm6637 ENSMUSG00000035469
mm6636 ENSMUSG00000020698
mm11919 ENSMUSG00000030688
mm11918 ENSMUSG00000064290
mm6633 ENSMUSG00000057532
mm6632 ENSMUSG00000028136
mm8299 ENSMUSG00000011305
mm8298 ENSMUSG00000016349
mm8295 ENSMUSG00000019861
mm8294 ENSMUSG00000021236
mm8297 ENSMUSG00000021194
mm8296 ENSMUSG00000059588
mm8291 ENSMUSG00000023826
mm8290 ENSMUSG00000038665
mm8293 ENSMUSG00000022103
mm8292 ENSMUSG00000028591
mm4772 ENSMUSG00000029309
mm4773 ENSMUSG00000041064
mm4770 ENSMUSG00000038886
mm4771 ENSMUSG00000021281
mm4776 ENSMUSG00000054728
mm4777 ENSMUSG00000025280
mm4774 ENSMUSG00000055737
mm4775 ENSMUSG00000068171
mm4778 ENSMUSG00000034616
mm4779 ENSMUSG00000020400
mm14248 ENSMUSG00000034923
mm14249 ENSMUSG00000040289
mm13218 ENSMUSG00000059990
mm13219 ENSMUSG00000043087
mm13214 ENSMUSG00000045812
mm13215 ENSMUSG00000043320
mm13216 ENSMUSG00000058244
mm13217 ENSMUSG00000021025
mm13210 ENSMUSG00000046076
mm13211 ENSMUSG00000066262
mm13212 ENSMUSG00000057461
mm13213 ENSMUSG00000060549
mm15119 ENSMUSG00000024912
mm15118 ENSMUSG00000049357
mm19478 ENSMUSG00000020778
mm19479 ENSMUSG00000022500
mm19472 ENSMUSG00000030842 ENSMUSG00000062508
mm19473 ENSMUSG00000052076
mm19470 ENSMUSG00000060063
mm19471 ENSMUSG00000022722
mm15115 ENSMUSG00000030086
mm15114 ENSMUSG00000036760
mm15117 ENSMUSG00000039032
mm15116 ENSMUSG00000067027
mm24058 ENSMUSG00000068872
mm24059 ENSMUSG00000066813
mm24050 ENSMUSG00000067442
mm24051 ENSMUSG00000068919
mm24052 ENSMUSG00000069381
mm24053 ENSMUSG00000069010
mm24054 ENSMUSG00000067134
mm24055 ENSMUSG00000066736
mm24056 ENSMUSG00000048824
mm24057 ENSMUSG00000067348
mm21660 ENSMUSG00000067243
mm21661 ENSMUSG00000062033
mm21662 ENSMUSG00000019933
mm21663 ENSMUSG00000053499
mm21664 ENSMUSG00000068409
mm21665 ENSMUSG00000059403
mm21666 ENSMUSG00000026668
mm21667 ENSMUSG00000068352
mm21668 ENSMUSG00000046965
mm21669 ENSMUSG00000018927
mm20539 ENSMUSG00000056344
mm20538 ENSMUSG00000048814
mm20537 ENSMUSG00000053275
mm20536 ENSMUSG00000036958
mm20535 ENSMUSG00000034203
mm20534 ENSMUSG00000051603
mm20533 ENSMUSG00000027919
mm20532 ENSMUSG00000067802
mm20531 ENSMUSG00000061067
mm20530 ENSMUSG00000062922
mm8905 ENSMUSG00000031738
mm8904 ENSMUSG00000067985
mm8907 ENSMUSG00000033809
mm8906 ENSMUSG00000037007
mm8901 ENSMUSG00000007950
mm8900 ENSMUSG00000029063
mm8903 ENSMUSG00000030435
mm8902 ENSMUSG00000029775
mm8909 ENSMUSG00000023393
mm8908 ENSMUSG00000068554
mm6190 ENSMUSG00000018347
mm6191 ENSMUSG00000038085
mm6192 ENSMUSG00000067166 ENSMUSG00000068922
mm6193 ENSMUSG00000050097
mm6194 ENSMUSG00000037451
mm6195 ENSMUSG00000051872
mm6196 ENSMUSG00000060560
mm6197 ENSMUSG00000037703
mm6198 ENSMUSG00000055202
mm6199 ENSMUSG00000068039
mm15807 ENSMUSG00000024436
mm15806 ENSMUSG00000028642
mm15805 ENSMUSG00000057570
mm15804 ENSMUSG00000055193
mm15803 ENSMUSG00000036533
mm15802 ENSMUSG00000068576
mm15801 ENSMUSG00000038541
mm15800 ENSMUSG00000044644
mm15809 ENSMUSG00000035376
mm15808 ENSMUSG00000064254
mm432 ENSMUSG00000022629
mm433 ENSMUSG00000031503
mm430 ENSMUSG00000050310
mm431 ENSMUSG00000037270
mm436 ENSMUSG00000032625
mm437 ENSMUSG00000041268
mm434 ENSMUSG00000026152
mm435 ENSMUSG00000032516
mm438 ENSMUSG00000024049
mm439 ENSMUSG00000019852
mm13436 ENSMUSG00000060335
mm23257 ENSMUSG00000066573
mm23256 ENSMUSG00000068515
mm23255 ENSMUSG00000068126
mm23254 ENSMUSG00000040644 DIP:587N
mm23253 DIP:494N ENSMUSG00000021303
mm23252 ENSMUSG00000067010
mm23251 ENSMUSG00000037152
mm23250 ENSMUSG00000029535
mm23259 ENSMUSG00000066404
mm23258 ENSMUSG00000067271
mm13437 ENSMUSG00000032801
mm16082 ENSMUSG00000024888
mm17188 ENSMUSG00000041378
mm17189 ENSMUSG00000049546
mm16083 ENSMUSG00000062751 ENSMUSG00000029871
mm17180 ENSMUSG00000039759
mm17181 ENSMUSG00000002290 ENSMUSG00000048513
mm17182 ENSMUSG00000058135
mm17183 ENSMUSG00000038900
mm17184 ENSMUSG00000021792
mm17185 ENSMUSG00000025817
mm17186 ENSMUSG00000021977
mm17187 ENSMUSG00000037204
mm1234 ENSMUSG00000020790
mm1235 ENSMUSG00000034333
mm1236 ENSMUSG00000067536
mm17232 ENSMUSG00000020137
mm17233 ENSMUSG00000030652
mm17230 ENSMUSG00000022635
mm17231 ENSMUSG00000038193
mm17236 ENSMUSG00000030814
mm17237 ENSMUSG00000004837
mm17234 ENSMUSG00000024273
mm17235 ENSMUSG00000048977
mm1230 ENSMUSG00000024219
mm17238 ENSMUSG00000055069
mm17239 ENSMUSG00000005474
mm1231 ENSMUSG00000024671
mm1232 ENSMUSG00000052539
mm1233 ENSMUSG00000066621
mm15788 ENSMUSG00000047180
mm15789 ENSMUSG00000063200
mm15780 ENSMUSG00000060073
mm15781 ENSMUSG00000039958
mm15782 ENSMUSG00000027338 DIP:4N
mm15783 ENSMUSG00000052871
mm15784 ENSMUSG00000031774
mm15785 ENSMUSG00000069579
mm14761 ENSMUSG00000051367
mm14760 ENSMUSG00000063008
mm18460 ENSMUSG00000038141
mm18461 ENSMUSG00000040269
mm14765 ENSMUSG00000020884
mm14764 ENSMUSG00000018865
mm18464 ENSMUSG00000021268
mm14766 ENSMUSG00000029464
mm14769 ENSMUSG00000039662
mm14768 ENSMUSG00000062379
mm18468 ENSMUSG00000025204
mm18469 ENSMUSG00000027428
mm19731 ENSMUSG00000052400
mm19730 ENSMUSG00000050941
mm19733 ENSMUSG00000063518
mm19732 ENSMUSG00000032551
mm19735 ENSMUSG00000003955
mm19734 ENSMUSG00000055170
mm19737 ENSMUSG00000055360
mm19736 ENSMUSG00000025040
mm19739 ENSMUSG00000062247
mm19738 ENSMUSG00000008540
mm21347 ENSMUSG00000054044
mm21346 ENSMUSG00000054281
mm21345 ENSMUSG00000053979
mm21344 ENSMUSG00000056249
mm21343 ENSMUSG00000062016
mm21342 ENSMUSG00000053778
mm21341 ENSMUSG00000024346
mm21340 ENSMUSG00000066794
mm21349 ENSMUSG00000026729
mm21348 ENSMUSG00000044125
mm375 ENSMUSG00000021767
mm374 ENSMUSG00000035614
mm377 ENSMUSG00000040363
mm376 ENSMUSG00000052533
mm371 ENSMUSG00000052299
mm370 ENSMUSG00000001435
mm373 ENSMUSG00000041638
mm372 ENSMUSG00000034115
mm379 ENSMUSG00000023977
mm378 ENSMUSG00000027272
mm20 ENSMUSG00000059973
mm21 ENSMUSG00000033826
mm22 ENSMUSG00000022672
mm23 ENSMUSG00000034687
mm24 ENSMUSG00000043760
mm25 ENSMUSG00000032589
mm26 ENSMUSG00000002028
mm27 ENSMUSG00000037545
mm28 ENSMUSG00000040407
mm29 ENSMUSG00000038872
mm20776 ENSMUSG00000062458
mm10453 ENSMUSG00000056312
mm10452 ENSMUSG00000022801
mm10451 ENSMUSG00000051029
mm10450 ENSMUSG00000007617
mm10457 ENSMUSG00000026774
mm10456 ENSMUSG00000067810
mm10455 ENSMUSG00000056214
mm10454 ENSMUSG00000069760
mm10459 ENSMUSG00000047428
mm10458 ENSMUSG00000036437
mm12349 ENSMUSG00000049147
mm12348 ENSMUSG00000034379
mm12345 ENSMUSG00000035121
mm12344 ENSMUSG00000068232
mm12347 ENSMUSG00000015944
mm12346 ENSMUSG00000031519
mm12341 ENSMUSG00000066892
mm12340 ENSMUSG00000018841
mm12343 ENSMUSG00000025480
mm12342 ENSMUSG00000013668
mm16859 ENSMUSG00000060814
mm16858 ENSMUSG00000027171
mm16855 ENSMUSG00000027506
mm16854 ENSMUSG00000021700
mm16857 ENSMUSG00000024155
mm16856 ENSMUSG00000069491
mm16851 ENSMUSG00000024168
mm16850 ENSMUSG00000068916
mm16853 ENSMUSG00000048721
mm16852 ENSMUSG00000039043
mm5995 ENSMUSG00000053483
mm5994 ENSMUSG00000061186
mm5997 ENSMUSG00000022031
mm5996 ENSMUSG00000019834
mm5991 ENSMUSG00000045275
mm5990 ENSMUSG00000031631
mm5993 ENSMUSG00000032401
mm5992 ENSMUSG00000031154
mm5999 ENSMUSG00000050855
mm5998 ENSMUSG00000000028
mm9199 ENSMUSG00000060284
mm9198 ENSMUSG00000022790
mm4110 DIP:5990N
mm4111 ENSMUSG00000046959
mm4116 ENSMUSG00000032258
mm4117 ENSMUSG00000030067
mm4114 ENSMUSG00000040219
mm4115 ENSMUSG00000017686
mm9191 ENSMUSG00000040859
mm9190 ENSMUSG00000028803
mm9193 ENSMUSG00000039934
mm9192 ENSMUSG00000049482
mm9195 ENSMUSG00000059171
mm9194 ENSMUSG00000034800
mm9197 ENSMUSG00000057440
mm9196 ENSMUSG00000031616
mm8822 ENSMUSG00000022195
mm8823 ENSMUSG00000039096
mm8820 ENSMUSG00000021731
mm8821 ENSMUSG00000024594
mm8826 ENSMUSG00000019578
mm8827 ENSMUSG00000036885
mm8824 ENSMUSG00000037287
mm8825 ENSMUSG00000029070
mm13434 ENSMUSG00000043709
mm13435 ENSMUSG00000001061
mm8828 ENSMUSG00000033618
mm8829 ENSMUSG00000031925
mm13430 ENSMUSG00000059043
mm13431 ENSMUSG00000069924
mm13432 ENSMUSG00000059821
mm13433 ENSMUSG00000032182
mm3764 ENSMUSG00000050675
mm3765 ENSMUSG00000038331
mm3766 ENSMUSG00000043110
mm3767 ENSMUSG00000044066
mm3760 ENSMUSG00000037148
mm3761 ENSMUSG00000043020
mm3762 ENSMUSG00000005410
mm3763 ENSMUSG00000020076
mm3768 ENSMUSG00000022887
mm3769 ENSMUSG00000027194
mm11498 ENSMUSG00000032540
mm11499 ENSMUSG00000048521
mm11494 ENSMUSG00000069033
mm11495 ENSMUSG00000004788
mm11496 ENSMUSG00000046908
mm11497 ENSMUSG00000028411
mm11490 ENSMUSG00000036856
mm11491 ENSMUSG00000069520
mm11492 ENSMUSG00000052270
mm11493 ENSMUSG00000068439 ENSMUSG00000068438
mm23095 ENSMUSG00000068152
mm23094 ENSMUSG00000025421
mm23097 ENSMUSG00000021905
mm16148 ENSMUSG00000024677
mm23091 ENSMUSG00000066624
mm23090 ENSMUSG00000068998
mm1698 ENSMUSG00000022229
mm23092 ENSMUSG00000066934
mm16143 ENSMUSG00000033863
mm16142 ENSMUSG00000049615
mm16141 ENSMUSG00000069607 ENSMUSG00000069609 ENSMUSG00000069608
mm16140 ENSMUSG00000022285
mm16147 ENSMUSG00000054259
mm16146 ENSMUSG00000069247
mm16145 ENSMUSG00000006007
mm16144 ENSMUSG00000030960
mm2415 ENSMUSG00000028158
mm2414 ENSMUSG00000022369
mm2417 ENSMUSG00000027722
mm2416 ENSMUSG00000064302
mm2411 ENSMUSG00000027298
mm2410 ENSMUSG00000068117
mm2413 ENSMUSG00000052374
mm9444 ENSMUSG00000000439
mm9449 ENSMUSG00000021414
mm9448 ENSMUSG00000035578
mm2419 ENSMUSG00000041688
mm2418 ENSMUSG00000043099
mm8310 ENSMUSG00000001524
mm8311 ENSMUSG00000019087
mm8312 ENSMUSG00000022412
mm8313 ENSMUSG00000036534
mm8314 ENSMUSG00000026683
mm8315 ENSMUSG00000051435
mm8316 ENSMUSG00000055078
mm8317 ENSMUSG00000027074
mm8318 ENSMUSG00000058973
mm8319 ENSMUSG00000041620
mm13557 ENSMUSG00000002985
mm13556 ENSMUSG00000064110
mm13555 ENSMUSG00000043911
mm17430 ENSMUSG00000064060
mm17431 ENSMUSG00000023983
mm17432 ENSMUSG00000021286
mm17433 ENSMUSG00000036181
mm17434 ENSMUSG00000025374
mm17435 ENSMUSG00000031068
mm17436 ENSMUSG00000001852
mm17437 ENSMUSG00000059734
mm17438 ENSMUSG00000038037
mm17439 ENSMUSG00000024033
mm13552 ENSMUSG00000061404
mm13551 ENSMUSG00000059787
mm13550 ENSMUSG00000061764
mm22058 ENSMUSG00000020107
mm22059 ENSMUSG00000062279
mm22056 ENSMUSG00000068367
mm22057 ENSMUSG00000057265
mm22054 ENSMUSG00000051480
mm22055 ENSMUSG00000068362
mm22052 ENSMUSG00000048409
mm22053 ENSMUSG00000058935
mm22050 ENSMUSG00000046113
mm22051 ENSMUSG00000052848
mm6408 ENSMUSG00000034292
mm6409 ENSMUSG00000046782
mm6402 ENSMUSG00000034707
mm6403 ENSMUSG00000030007
mm6400 ENSMUSG00000026634
mm6401 ENSMUSG00000030774
mm6406 ENSMUSG00000037446
mm6407 ENSMUSG00000005360
mm6404 ENSMUSG00000055733
mm6405 ENSMUSG00000024966
mm13391 ENSMUSG00000050015
mm13390 ENSMUSG00000028517
mm18662 ENSMUSG00000021534
mm13392 ENSMUSG00000047626
mm13395 ENSMUSG00000049894
mm13394 ENSMUSG00000058641
mm13397 ENSMUSG00000046228
mm13396 ENSMUSG00000021996
mm13399 ENSMUSG00000069819
mm13398 ENSMUSG00000063800
mm14165 ENSMUSG00000038010
mm14164 ENSMUSG00000005602
mm14163 ENSMUSG00000058218 ENSMUSG00000063696
mm14162 ENSMUSG00000010110
mm14161 ENSMUSG00000045410
mm14160 ENSMUSG00000069295
mm19539 ENSMUSG00000060125
mm19538 ENSMUSG00000001289
mm19537 ENSMUSG00000069257
mm19536 ENSMUSG00000062543
mm19535 ENSMUSG00000040078
mm19534 ENSMUSG00000007805
mm19533 ENSMUSG00000032381
mm19532 ENSMUSG00000051295
mm19531 ENSMUSG00000067633
mm19530 ENSMUSG00000025732
mm4923 ENSMUSG00000052997
mm4922 ENSMUSG00000050148
mm4921 ENSMUSG00000027908
mm4920 ENSMUSG00000003575
mm4927 ENSMUSG00000031344
mm4926 ENSMUSG00000051390
mm4925 ENSMUSG00000024561
mm4924 ENSMUSG00000036327
mm4929 ENSMUSG00000034685
mm4928 ENSMUSG00000020451
mm21585 ENSMUSG00000063037
mm21584 ENSMUSG00000050883
mm21587 ENSMUSG00000001666
mm21586 ENSMUSG00000060823
mm21581 ENSMUSG00000053733
mm21580 ENSMUSG00000068442
mm21583 ENSMUSG00000057485
mm21582 ENSMUSG00000052591
mm21589 ENSMUSG00000060730 ENSMUSG00000062006 ENSMUSG00000066116
mm21588 ENSMUSG00000041629
mm16008 ENSMUSG00000027217
mm1134 ENSMUSG00000028978
mm16004 ENSMUSG00000015441
mm16005 ENSMUSG00000015443
mm18499 ENSMUSG00000030105
mm18498 ENSMUSG00000042386
mm18497 ENSMUSG00000045946
mm18496 ENSMUSG00000008193
mm18495 ENSMUSG00000039438
mm20188 ENSMUSG00000068792
mm20189 ENSMUSG00000060715
mm20182 ENSMUSG00000063006
mm18493 ENSMUSG00000045231
mm20180 ENSMUSG00000063464
mm20181 ENSMUSG00000050664
mm20186 ENSMUSG00000031924
mm20187 ENSMUSG00000000088
mm20184 ENSMUSG00000015323
mm18492 ENSMUSG00000066023
mm18491 ENSMUSG00000046533
mm18490 ENSMUSG00000068150
mm609 ENSMUSG00000030209
mm608 ENSMUSG00000069170
mm605 ENSMUSG00000021910
mm604 ENSMUSG00000036550
mm607 ENSMUSG00000027652
mm606 ENSMUSG00000039262
mm601 ENSMUSG00000054580
mm600 ENSMUSG00000022483
mm603 ENSMUSG00000029502
mm602 ENSMUSG00000003847
mm22931 ENSMUSG00000062133
mm22930 ENSMUSG00000063882
mm22933 ENSMUSG00000064063
mm22932 ENSMUSG00000056850
mm22935 ENSMUSG00000053690
mm22934 ENSMUSG00000021079
mm22937 ENSMUSG00000045446
mm22936 ENSMUSG00000048004
mm22939 ENSMUSG00000059511
mm22938 ENSMUSG00000024844
mm17377 ENSMUSG00000067184
mm17376 ENSMUSG00000043043
mm17375 ENSMUSG00000050787
mm17374 ENSMUSG00000066525
mm17373 ENSMUSG00000024750
mm17372 ENSMUSG00000041309
mm17371 ENSMUSG00000029282
mm17370 ENSMUSG00000066975
mm17379 ENSMUSG00000053889
mm17378 ENSMUSG00000049539
mm18347 ENSMUSG00000053910
mm18346 ENSMUSG00000027852 DIP:1058N
mm18345 ENSMUSG00000001103
mm18344 ENSMUSG00000031516
mm18343 ENSMUSG00000066946
mm18342 ENSMUSG00000026889
mm18341 ENSMUSG00000056324
mm18340 ENSMUSG00000043126
mm18349 ENSMUSG00000042087
mm18348 ENSMUSG00000059480
mm9704 ENSMUSG00000038781
mm9705 ENSMUSG00000021593
mm9706 ENSMUSG00000002475
mm9707 ENSMUSG00000021965
mm9700 ENSMUSG00000025223
mm9701 ENSMUSG00000060510
mm1458 ENSMUSG00000039367
mm1459 ENSMUSG00000038025
mm1454 ENSMUSG00000033697
mm1455 ENSMUSG00000048148
mm1456 ENSMUSG00000030662
mm1457 ENSMUSG00000020608
mm1450 ENSMUSG00000030059
mm1451 ENSMUSG00000039488
mm1452 ENSMUSG00000003435
mm1453 ENSMUSG00000034310
mm5528 ENSMUSG00000025008
mm5529 ENSMUSG00000024502
mm5524 ENSMUSG00000020389
mm5525 ENSMUSG00000059837
mm5526 ENSMUSG00000026305
mm5527 ENSMUSG00000029468
mm5520 ENSMUSG00000059409
mm5521 ENSMUSG00000014164
mm5522 ENSMUSG00000031397
mm5523 ENSMUSG00000048096
mm2855 ENSMUSG00000017288
mm2854 ENSMUSG00000026726
mm2857 ENSMUSG00000040494
mm2856 ENSMUSG00000058638
mm2851 ENSMUSG00000012017
mm2850 ENSMUSG00000030450
