F1PX62	F1MZA9	D3ZV26	A2BED8	Q96II8
F1PHD2	Q17QM8	Q3MID5	Q9QXT8	P30626
J9P825	F1MK99	D3ZRB3	Q9QYS2	Q7Z465
E2REL6	A6QLR1	D4A0C3	Q64689	Q8IWF7
F1PJV5	E1BNW4	Q63184	Q3U309	Q02221
E2QX82	Q2KI52	G3V7K7	Q6NXI8	P08138
E2R5G3	G3N1D6	F1LQR7	Q810I0	Q9BZM1
J9NUG0	E1BF55	Q5BK45	A2ASQ1	Q9HDD0
F1PZ33	Q0II65	D4A435	Q3TZ65	Q8IXQ8
F6UZN2	E1B705	A0A0G2K7A5	Q14AI6	Q96PM5
E2RLV4	F1N607	D4A1C0	Q9QXY7	P26367
E2QXM2	E1BN54	P52759	Q3U2I3	Q6ZRQ5
E2R2I5	E1BKQ6	A0A140TAI1	P62492	Q6P1J9
J9P2W8	E1BFC3	A0A0G2K0M8	Q99N92	Q9Y2E4
E2QTV6	Q2KID7	Q4KMB9	Q9Z2J6	Q07325
E2RP99	P38408	P19225	Q9Z2G0	Q9UBC1
E2RM70	E1BAL9	Q8K4S7	Q3V0B4	P12074
E2RS72	F1MKH8	G3V7V1	Q9DBS8	P60953
J9NXW2	E1BJL3	A0A0G2K5R4	A0A1L1SSA4	P25786
J9P8K2	E1BB34	Q2KJ10	D6RIL3	Q9H6P5
F1PDE7	E1BCU3	F1LPU1	Q60860	A8MQB3
E2RT10	E1BEM2	P25305	Q80U28	P47775
E2RT90	Q0VC03	Q66HG5	P56695	Q16650
F1PQW5	A6H7I3	A0A0G2JT78	Q64448	Q6XD76
E2RTL7	E1BJV4	M0R8N7	Q7TNK8	P57796
Q95N01	Q3MHH3	A0A0H2UHB8	Q60603	Q9NR21
F1PPQ0	F1MYR3	G3V7E0	Q9EPQ8	Q9UHF3
F1PSG3	F1MY69	A0A0G2K5H2	Q9DAN1	Q6ICC9
J9NWV0	A7MBK2	Q99PE6	Q9D8Q6	Q6PJF5
E2R037	Q32L79	M0R515	Q5SVT3	Q8WUY8
F6XE69	Q17QI0	A0A0G2K7Q6	Q3UU96	Q8WXK4
E2RMX2	F1N2W9	Q9QX67	B9EHT4	Q9BXJ2
J9P211	A4FV68	Q6AYM2	Q8VE11	Q15691
J9P2K2	Q3MIB9	D3ZM69	P11688	Q9UQL6
J9NYG3	F1MW11	F1MA97	Q8C9K5	P43366
E2RP02	Q3SZ84	P0C6C0	O55103	Q13093
E2QVF9	P15690	D4AEK9	P39053	Q9Y2D8
F1PZG6	F1N231	F1M748	Q9JKF6	Q8N1G2
F1PAV6	E1BH01	Q3B7V0	Q9D3A9	P51513
F6Y8P0	P24275	Q5XIE5	Q9DAF3	P30542
F1PHW9	F1MGM1	D3ZJB7	Q3UPR9	O00481
F1Q065	E1BIF0	G3V836	O88559	P61254
J9NTK9	E1BHB9	A0A0G2KAA6	Q91WQ3	Q9BRJ2
E2R3W3	F1MDQ6	G3V8J5	Q7TN58	Q7Z7H5
F6X958	F1MHV5	G3V744	Q9DCE5	P51957
F1PIZ4	G3X6Q3	F7FL00	Q9EQP6	Q6P1N0
J9NVJ7	G3MZ89	G3V6B7	P62488	O75665
E2R5V7	E1BHL6	D4A2U2	Q9CZD5	Q9H9J5
J9NUB8	Q2KHZ6	Q6GX86	Q8QZR7	B1AK53
E2QXB1	F1MIF5	E9PTD7	L7N480	Q9H169
F1PSA5	G3N243	D3ZKJ8	Q3UVG3	Q9H7B2
E2R6Q9	F1MZB6	D3ZZL3	Q8BMJ3	Q9BQ95
A0A140T8E2	F1N6I1	F1M8G4	O35137	Q969Y0
P34962	E1BMC5	A0A0G2JXV9	Q9D6T1	O95972
F1PIP0	E1B7G3	D4AC38	Q06890	P31391
F1PEJ5	P82920	D3ZIA4	P59158	O15194
Q9N1Q3	A6QLZ5	D4ACK0	A2ALL3	Q13651
E2RAM4	A3KMY1	D4ADH7	Q9QXD6	Q69YU5
F1PLE5	E1BBL2	P15146	E9PYC0	Q9BWD7
E2RMP5	E1BPA4	A0A0G2JU99	G3X8Y7	Q86VI4
E2RS73	E1BDN4	Q6UY90	Q8CHW1	P63165
J9P3D1	F1MD73	M0R3V3	Q8BY89	P85298
Q95KM6	G5E5J8	P17178	Q9QZ39	Q9H5Y7
J9P4S7	F1N751	Q6DG50	A6H6E9	P17858
F1PKZ7	Q3T0Y3	Q9JLS3	Q99M07	Q9H665
E2RJE1	Q08DN1	Q45QJ4	Q8C4D5	P48444
E2RNX3	A7MB18	P97610	Q8K0L3	O76031
E2R6X6	F1MLZ1	Q5BJY8	P11627	Q9Y6K1
J9P251	Q9XT96	A0A0G2K1V7	Q99KL7	P43307
F1PZH0	Q1RMQ4	D3ZWE3	Q8BG47	Q9NX74
E2RP58	E1B8G5	Q6AZ51	Q99JA4	Q86WS5
E2R031	Q3SWY0	F1LT11	Q920P5	Q2TAL8
J9P896	F1MR87	A0A0G2K3B2	Q920M5	Q9NX07
E2R5D6	Q52PG9	P20291	Q8BHB8	Q08431
E2RES7	E1BFD0	Q5EBD0	P28662	Q8N6M5
F1PDQ2	A6QPU2	P0C5Y8	Q9ERD8	O75896
E2QXP3	F1MEV4	D4ABP3	Q8CHH9	Q14242
E2RS98	F1MKP9	D3ZFD9	V9GX34	Q00532
F1P895	Q0VCY1	G3V790	O54941	P08069
F1PTZ0	E1BGQ7	A0A0G2JZL2	Q9D844	Q5R2U3
F1P9A1	F1MTZ7	P54282	Q64288	Q14766
F1PRS5	G5E628	Q6ZXZ0	P14231	P38484
Q9BEF8	G3MYR6	G3V8E1	Q3ULM6	Q96RQ1
E2RAJ7	F1MZJ3	Q2TGJ9	Q6R5P0	Q5VU43
E2RR81	E1BGF8	Q6P7B7	Q6PDL0	Q96PZ0
E2RSJ0	E1BD03	B5DFL0	Q8BRG6	Q9ULX3
E2QXA9	F1MDV2	P54777	Q9CZ15	Q6NX49
Q68AY9	E1B7C4	Q3KR92	Q64311	Q96LR2
E2R081	G3N2F6	Q62625	Q91X95	O43680
E2RRD5	F1MW39	Q8VI04	L0N7N1	P55809
E2RLD6	Q2HJ35	Q9QYP1	P56726	Q7L2Z9
F1PTW2	E1BAD9	D4A3V0	Q3MI99	Q9UDY4
F1PJ44	E1B7I5	Q5PQK3	Q64287	Q9Y230
J9P761	E1BE19	Q6Q0N0	O88741	Q9Y5S8
E2RJH4	G3N354	B2RYP6	B1AZI6	Q8NHH1
E2RDH2	A2VE19	A0A0G2JTF1	Q6NWW4	Q9NWJ6
E2RD11	F1MGH2	Q2TSE3	P05533	Q9Y694
F1PB01	F1MQ38	Q5Y986	E0CXZ2	Q93045
J9P183	F1MSK0	Q5EGY4	Q8C120	P81605
E2RI53	G3X6P1	Q5XIE2	Q2YFS2	Q8N6I1
F1PUV5	G5E5I4	D4AE69	Q9DB98	Q9UBI4
F1PUF5	F1MEN8	P20595	Q9D2Q8	Q9UL62
E2RN29	E1BPL4	Q7M6Z1	Q9JM13	Q7Z6I5
E2R5N7	E1BJW2	D3ZIK0	Q9JLM7	O00194
J9NVN4	A1L4Z7	Q80XX4	Q8VHP6	O60575
E2RFF5	E1BLB9	F1LPC7	P59644	Q15907
P47240	F1MZG7	D4A578	Q91UZ1	Q9NQS1
J9NWI4	A5D7E9	F1LQ09	Q4JK59	Q9NPC4
E2RS39	Q3ZCI8	A0A0G2JXP6	Q7TPQ9	Q8NDF8
F1PFM5	G3MZT6	Q5BJP5	Q8VCG9	Q8NHP8
F1PFJ7	F1MPD8	D3ZM82	Q8K2I9	A0A0S2Z5W9
F1PTR2	F1MV61	B5DEF5	Q5ND29	O75352
F1PDN1	Q8HY88	Q4V8K1	Q91XL3	A0AVI4
J9NU86	F1MD85	Q9ERQ6	Q9WUZ3	A4D2P6
E2RIV8	F1MCM1	Q5EBB1	A3KMP2	Q96Q77
F1PZF4	F1N3Z3	Q6P7Q4	Q6ZQ93	P68366
E2RNK0	A4IFR8	Q66HK3	Q32LZ8	Q13017
F1PJZ0	A2VDK6	Q497A2	Q8R191	Q3MIX3
F1PET0	G3X7G3	F1M0Q9	Q8BH32	Q8IYB8
E2RA55	A7YWI5	D3ZLP2	Q14DQ1	Q9H598
J9P296	P08904	Q9R103	A0A0A6YXB2	Q9UHI5
E2RJL0	E1BIU9	Q9WVC0	Q9CYT6	Q4ZG74
E2RH54	E1BHQ2	P49242	P43023	Q15032
E2RPS2	F1N4N0	Q5XIE8	P12672	Q9NZM5
E2RP79	F6Q0C0	F1M8H6	Q9DCH6	O15259
J9P2H7	Q5E9F8	M0R8I8	B2RR82	Q16663
E2RL37	F1N4S1	Q794F9	Q8VE33	Q86YH2
F1PWU0	F1MSR5	Q5FWU4	Q8CBX9	Q9H5V9
F1PZK4	E1BPC7	D3ZKW7	Q9EPS2	Q9NPR2
F1PDQ9	Q3T187	A5HKJ1	Q8CID3	Q14CM0
F1PS17	F1N0T1	P11384	P04426	O15162
F1PU41	F1MVS0	Q64604	P62262	A6NDB9
E2RT72	F1MJS0	F1MA59	Q8BT60	Q32P51
E2R476	F1N632	M0R9X8	P61082	P15880
E2RG29	E1BEW6	A0A0G2K1R4	P70671	P53675
E2R7E5	E1BBI6	D4A9Y3	Q8K0B2	P84090
F1PA44	F1MS95	D4A628	Q80SZ6	P00995
J9P0W5	F1N0V8	A7ISD5	Q9CQC2	Q59GL9
F1PTU4	E1BAY5	F2Z3T4	Q99J99	Q8N162
E2R6K2	E1BNG5	F1LWV8	Q91ZZ3	Q9H400
F1PXZ7	F1MYK4	G3V7B9	P24063	P43355
E2QW10	Q3ZC26	F7ETL6	Q99PE9	Q8IUN9
F6USZ7	E1BN52	F1M965	P56654	Q92882
J9P6W8	F1N1T6	A0A0G2K331	A0A0R4J009	Q92537
F1P6C9	F1MJ96	G3V859	Q5IXF8	Q86V97
E2R1I9	Q2TEA4	P27926	Q1A3B0	Q5VVQ6
F6XUJ3	F1MBJ2	A0A0G2JVE6	Q9QXN5	B7ZAQ6
F1P840	E1B856	B5DFL9	Q3UI43	Q6NUJ2
F1PGJ9	F1N5X5	F1M078	B2RRA7	Q9UHV2
E2R5P8	E1BGD9	D3ZSC2	Q5JCT0	P57081
E2RKP0	Q3SYT4	Q7TPL3	Q9CQP2	Q86U70
E2RKI7	P01888	Q3B8R7	Q9DB42	Q86YC2
E2RGL6	E1BM79	M0R7I5	Q8K1A0	Q9UNF0
J9NST4	F1MGG3	D3ZP93	P35846	Q8TCG1
J9P4W3	E1BFQ6	Q6AYI2	P20067	Q86X55
E2QXZ5	A6QLA5	Q5XIA9	Q8C9A2	P56279
E2RNV4	Q3SYX8	Q5XI39	Q9CR80	Q9Y6D9
E2QW37	F1MVI5	Q66H56	Q8BLK3	P28289
F1PS08	G3N133	D3ZPD6	P02301	A0A0G2JJL1
J9P4D2	Q29RJ9	Q09128	Q8BQZ5	I3L0N3
E2RG58	E1B8X6	M0RC58	A0A0R4J0M4	Q7Z4N2
J9P4B2	E1BN37	D4A1E8	P40694	Q6WRX3
E2RPH2	A4IFA9	P04355	Q9JKE5	Q9BRT3
J9P4U1	Q2KII5	Q66HE7	E9Q6Z5	O75414
J9NUD1	F1MTT7	A0A0G2K6Q2	Q9CPR1	Q8WZ04
E2QTP2	Q2KJ56	F1LQ87	Q8BZ98	Q8NI35
J9P5H0	Q3SZC4	D3ZQK4	Q9Z2Y3	P22307
E2QWK3	Q2KIM2	D4ACF4	Q9JL95	P17948
E2RN42	G3N3T5	G3V973	Q99P25	Q9HAT1
F1Q0B6	A5PJX2	F1LVR4	A0A087WQ16	Q8NI27
J9P9P0	Q8SQ21	Q6MG11	E9QKQ5	Q86V25
F1PUU9	E1BNI6	F1MAG7	Q8K0H1	P11226
E2RT64	F1MXJ0	P49804	Q8CHP8	Q8N7K6
F1PCE1	F6QA78	Q5M881	Q8CJ91	Q5VWP3
E2R272	F1N2M2	A0A0G2K6N0	Q8BNW6	Q9UBB4
J9P8H5	F1MCC4	P35524	Q8VHC3	Q9H3F6
F1P9U9	G3MYY4	P22909	Q8BL94	P55287
E2R7P3	E1BNL8	Q8VGC3	Q9R224	Q6P1S2
J9NW83	A2VDN5	A0A0G2JYZ1	Q8CIV2	Q96J86
E2RN13	F1MXZ0	Q5XII0	P60761	P35658
F6UME0	E1B8T3	B0BNA9	Q8R574	Q0VAF9
J9P3J3	A6QR43	P81799	P43407	A0A024R0Y4
F1PB50	Q3MHE1	P16617	Q80XP8	Q9P0Z9
E2RS23	Q29S20	F1LXN4	Q920G8	Q9NYQ8
E2R5S3	Q2HJE8	P97712	Q61809	O95243
F1Q2K9	F1N455	Q5FVQ4	Q9CPP0	Q9Y261
E2QZ00	F1MBQ4	D3ZFS7	Q8CCG1	P07477
J9P3M2	F1MJW7	A0A0G2K302	E9Q7T7	Q86VY9
E2QYK9	E1B902	D3ZBW3	B2RPU8	Q9BYD6
F1P9P7	G3N157	P31232	P28652	A1Z199
F1PZ65	E1BK78	A0A0G2JSK2	Q9CWV1	O95237
E2R679	A6QQC0	A0A0G2K2U9	A4QPD1	Q92871
J9NYI0	A6QPL0	Q8R522	Q3USJ8	Q8TBJ5
F1PRK0	F1MJP6	Q64565	Q8C1R3	O14966
E2R9S5	F1MYY4	M0RCR5	Q5RJH2	P63316
Q8WN71	E1B9W6	B5DF24	A0A0R4J0E5	O15127
F1PKD8	A6QLI4	D3Z8T0	P41242	Q96C10
J9P0L0	E1BK47	Q3T1J2	Q9DCG6	Q5EE01
J9JHM2	Q3SX00	A0A0G2JTB6	P16043	Q5VWG9
F1P6V1	Q2HJ84	D3ZVD5	Q8R418	Q9ULX7
J9NW25	A4Z943	D3ZSY9	Q8VCC1	A0A0S2Z515
E2R0K2	E1BEN9	G3V7W6	Q9D273	P41439
F1PTR8	A6QQA1	D3ZPF9	E9PXD2	Q5VT52
E2RRA4	M0QVY7	Q68FX5	Q14B02	O00170
F1PEF8	G3MY47	Q4G073	Q8BNE1	A1L443
F1PPU2	F1MCA6	P23574	Q9QUT0	Q6ZP82
E2RH18	E1BB32	P49744	Q59IW6	P11912
F1PFU0	A6QM03	P12389	Q80TL1	Q96EY9
F1PGJ8	G3X6K5	D3ZYQ7	D3Z763	P31939
E2R130	G3N3R9	D3ZFM1	P10711	Q04206
E2QUI3	A5PJE4	F1M8H3	Q9D1H0	Q8IYT2
Q2PUG5	F1N726	D3ZZK1	Q9CQQ0	Q96MW1
E2RD22	F1MKA8	B2GV63	P97718	Q8TD16
E2R0X4	E1BLT9	D3ZU84	H3BJ07	Q6DN03
E2RQT1	F1MMB8	D4A9N8	Q920A7	Q92879
E2RH66	F1N1Y7	Q9R1Z0	Q6A044	Q9NR00
E2RB23	Q17R00	Q9JKA9	Q04573	Q8N5B1
F1PV54	F1MTV7	D4A739	A6H697	Q3BBV0
E2R018	E1BCL1	F1LN65	Q9JJG0	Q9UNA1
E2RSR9	Q58DG1	Q920H8	Q9EP52	Q86Y07
O02813	A2VDU1	Q920B6	Q924A4	Q96EH3
J9NRS2	E1BEZ1	A0A0G2K5U1	Q9R1C8	P20807
E2R7B5	F1N1Q8	D4A255	Q8BJG4	P51504
J9P8N6	F1MWY6	P97613	Q3U825	Q8N6M9
J9NRM5	Q2VWH6	Q9JLS8	I7HJI5	O95394
F1PHZ7	Q2KII2	D4A582	P60191	Q9NZR4
E2R2U0	F1MKT3	Q4QQU9	P61216	Q14141
E2RI01	Q3ZCK3	Q62632	O55203	P48681
F1PNE4	A4IFC0	D4A5H4	Q9ESL8	Q8N3J6
J9P8R3	E1BF89	Q02293	O88745	Q9BWG1
E2R5Q5	E1BIG6	Q5XIR9	O08900	O60806
J9PAT5	P10175	Q7M0E3	P11714	Q8NI32
J9P0J9	F1MY07	F1MAS7	Q8JZV4	Q0VG99
J9P519	Q2HJ78	Q6AYC5	Q9CY18	A8MXV6
J9PB77	F1MSS9	D4AEL8	E9Q555	P53618
E2RAY1	E1BKF8	A1A5P1	Q80TI0	P15289
F1PYQ3	G3MZU0	P35738	Q80TK0	O94777
F6XII0	Q58DS6	B0BMW0	P61202	P62906
J9NYS7	Q6QTH0	A0A0G2JTB7	A0A0B4J1F1	Q9P242
E2R402	E1BJ48	P55006	Q8BHI9	P01880
E2RR90	A6QPJ4	E9PTQ3	P39655	P15036
F1PAB6	F1MBG2	D4A593	Q8K5B9	Q13746
F1PGD3	A6QPG6	A0A0G2K5I7	Q8BHJ9	Q16236
F1PK72	Q0IIA3	P35433	Q8K3I4	Q9UJN7
E2QX17	P31081	Q4QQS4	Q9DCQ3	Q8TDV0
F1PBG6	G3MWR8	D3ZXB8	Q62381	P12036
J9NSM2	G3N300	D3ZV37	P01216	Q3KNV8
E2RNI1	F1ML97	A0A0G2KB72	A0A0R4IZZ1	P60900
F1Q4A3	F1MZV4	G3V648	Q99LL3	Q9UHG3
E2R7I2	F1MYN4	D4AAY5	Q640L3	Q9UJU3
F1PJ06	A7E303	G3V8A0	Q8CGV8	O75575
J9JHU9	F1MZ63	F1M9W9	Q9DCI3	P48047
E2QTJ3	E1BF42	Q66HD6	Q6PAL1	Q8N8H1
E2QY16	A7YY41	W8C8J2	G5E8J6	A0JNW5
E2RRF9	Q17QH1	D3ZUQ7	Q9DCT5	P02655
F6PME1	Q3ZCC3	F7FG31	Q61166	O75106
F1PF79	F1N0N9	P36876	P97452	O75600
J9NSE2	E1BLX2	B2GUZ5	Q8K2A7	O14796
E2QWF4	E1BN71	D4A9P9	P43488	Q5VZ89
J9P4M2	F1MF36	F1LS72	P58801	Q00987
F1PSC1	F2Z4F0	F1MA20	P58854	Q96J42
E2QZE1	F1MM41	A0A0G2K5B0	Q810B3	O60304
F1P9S5	F1MMI8	A0A0H2UHF2	Q9DC58	Q8N434
F1PQC8	Q2TBN3	D3ZUP3	Q80SZ7	Q7Z7G0
E2R3I2	G3N1G1	Q9QYW5	Q9CQE7	Q12988
E2QWE7	P79342	Q6AYJ4	P82350	Q14188
J9PBB8	F1N549	D4A2K5	M9MMK0	P03897
E2RI92	F1N0M5	D3ZM91	Q6P5U8	Q16576
E2RCD7	F6PRB5	A0A0G2JSS9	Q8K010	O76021
F1PM44	F1N4J1	D3ZL04	Q9CW73	Q15035
Q9MZF4	E1BP23	F1M642	Q9WTR6	Q93097
E2R531	A6QQX2	A0A0G2K9B2	O89101	O15335
F1PAY6	F1MC22	A0A0G2JVG4	Q66LM6	P16930
F1PA73	G5E560	A0A0G2JSY9	Q810L4	Q6P9A1
F1PQC3	E1BAG6	P24090	Q3TWF9	Q96EY5
J9NY32	F1N1J9	G3V7U7	Q3TRM8	P31995
E2R236	F1MVZ1	A0A0G2K213	A0A1Y7VKH5	Q3SYB3
F6V482	Q08DL3	P00762	Q8C828	W5XKT8
J9JHU5	P35350	D3ZKG3	Q91WP0	A6NED2
E2RIJ4	G8JKY1	D3ZY60	P97327	Q5GFL6
F1P8K4	Q24K03	B2GV83	Q8BGK5	Q8IWL8
E2QW79	E1BPA5	D4A4P5	S4R299	Q99640
F1P9W5	A6QLP7	Q6IG05	Q9Z2S7	Q00403
E2RQ11	A0JNN3	Q5I0L3	Q8VCH0	Q96SM3
F1P8S5	E1BCQ0	Q5I0J9	Q61328	Q4VC12
E2RKM5	Q3SZ24	Q80WL1	Q1RLL7	Q16595
E2R534	F1MYJ3	B1H257	P47880	Q9H869
F1PR12	F1MPH3	D3ZBZ9	Q31216	O95178
E2QYH9	Q0IIG2	A0A0G2JYN5	P22646	O60291
F1PA53	H9GW42	Q99MC0	Q61420	Q9Y375
J9P712	E1BIT2	Q68FY4	Q66X22	P19971
P21842	Q3MHE0	F1LMF4	Q8BHX0	Q86WK6
F1PZL5	Q0P5F6	Q5FWT9	Q9QVY8	Q96JN8
E2R3Q6	E1B979	Q32KJ2	Q3UQA2	Q1WWK5
J9NZG9	A5D7L2	Q8R430	Q8K2J9	A4PIW0
E2RIM4	E1BNB2	D4A9P0	Q3V3Z3	Q8N205
E2QXE2	F1MP58	P97700	Q80TT8	Q02985
E2RCI5	E1BM48	D3ZFQ8	Q61768	Q9NQC7
E2RBC1	E1BDP9	M0R8K9	P13379	P16112
J9P099	G5E5Q9	A0A0G2JSS6	Q8VD46	P05177
E2RE11	F1ML61	D4A2V0	A2RSX7	Q9H672
E2RIW4	E1BB75	D3ZZ10	Q9CX97	Q96M95
F1PWZ2	P05363	Q496Z1	Q810W6	Q86UV5
F1Q439	P60902	Q6Q7Y5	P70206	P32246
F1P6F3	E1BBZ8	Q7TP44	B2RW38	P46094
F1Q3Z6	F1N1F7	F1LVA9	Q9JKP5	A8K6I4
J9P302	E1BHS1	Q715S9	Q9QXX0	Q5C8S5
E2QX78	G3X7D3	Q2TGK5	Q9R1M5	Q8TBU1
E2QXG1	F1MHP1	A0A0A0MXY5	Q64310	Q15436
F1PLD6	F1MFR6	G3V847	Q9R1S7	Q9H1Z4
E2QXV9	F1N4H1	Q6AY30	Q80UG1	Q7L7W2
J9NZI7	G3MWN6	D3ZBK4	Q8BKT3	P83916
E2RHG1	E1B8R9	Q01066	Q8BHH8	O95076
E2R1P0	F1N0X9	D3ZQJ0	Q8BVK3	A4FU77
E2QTS3	Q32L85	A0A0H2UHE1	Q91W97	Q99973
F1PWC2	Q0V8L2	D3Z977	Q9D9W0	Q86SE5
F1PFR3	E1BBW7	B2GV82	Q8VDS3	P35998
F1P8E4	E1BFK3	M0RDI5	P58404	E9PAV9
E2RJ46	E1BLF1	D4A5H6	Q99KR7	B0FTY2
E2RCK4	Q3SZC0	G3V9U2	Q7TNP2	Q9GZQ8
E2RSA8	G3N351	Q4KM83	F7D7A9	Q96BR9
E2QZP6	F1N2P7	D3ZX74	Q9ESB3	Q96PQ1
F1PGU3	E1BNA9	Q99MA1	O09173	Q9Y2H8
E2QUN4	E1BPV1	D3ZE49	Q99J72	Q9NQE9
F1PC33	Q08DQ2	Q9R1E9	Q8C8M1	P29084
F1Q1Q9	Q3T0K0	Q5PPJ4	P82343	P02775
F1PT20	F1MEC0	P97680	Q8R1P5	Q92917
E2R3U0	F1N6P6	A0A0G2JTD9	G3X8R7	P53367
E2RBM1	E1BNQ3	F1LNL3	Q8CF90	Q9BRK0
J9PAS0	E1BGT6	Q63716	Q8BGB8	Q6PJ61
J9JHN8	F1N0S9	P11505	Q8BW10	Q7KZ40
J9NY12	Q2KJ33	D4A251	Q9D3Z8	P51811
E2R6S8	Q2YDF6	A0A0G2K1M0	Q7TPY9	Q9BQG0
F1P8R8	F1MZ31	Q5XIL7	O70394	P16070
E2QXM1	G3N3L1	G3V795	Q9DBW0	P46095
F1PA60	F1MCP4	P01355	Q9JIW4	Q5JWR5
F1PZ58	G3X745	B1H222	Q8VCZ6	Q15544
E2RGU6	E1BM29	F1M9B7	O35368	Q8IWB7
F1PAI3	F1N058	B2RYK8	A0A0R4J216	O43490
F1P6T0	A5D9C6	Q5FVH7	B9EJV3	Q9HBM6
F1PZA9	F1MP54	Q5RKH6	Q9ES56	Q9P156
F1PDW0	A7YWK8	O54960	Q7TNT2	Q8IV20
E2QTW4	E1BNE9	D3Z9X4	A0A0A6YVS8	P35900
J9P3G2	E1BCF7	D3ZYQ3	O70468	Q5T013
F1PVI6	F1MNM3	P16573	P47242	Q8WZ19
E2RIM9	Q5EA42	D4AE03	Q68FF0	O76074
F1Q2V7	G5E5Q7	P41350	P04342	Q96JB8
F1PLD3	Q32PG5	Q6AYU1	Q8CDY7	O75311
J9NWJ0	E1BP24	E9PSU1	Q8K479	Q96P48
E2RB70	G3N1Q8	D4AE88	Q9EPV8	A0A0S2Z5R8
E2RFD8	Q2T9U5	P18266	Q8C5N5	Q6JQN1
J9P2L3	F1MJ00	Q99MI7	Q61696	Q9Y520
F1PB90	F1MNA6	O35820	Q5FWI2	Q8N4J0
F1PBE8	Q2KI69	Q5PQQ4	P22727	Q13627
E2RIQ0	G3MYX4	D3ZK56	Q6P1I6	Q8WWA0
E2RFB6	F1N243	O35876	P63042	Q6UWP7
J9P7I7	A0A140T846	F1LQ81	Q3UYV9	Q7L804
J9P3K9	Q0VC72	D3ZE11	Q9QYM6	Q6FI97
E2QSS3	E1BHL1	Q5M843	Q8BZJ7	Q7Z7J5
J9PBG8	A2VDP7	E9PT83	Q9WV54	P01375
F1PSL4	F1MMG1	F1M779	Q9CZG3	Q14587
E2R049	F1MLT6	B5DEZ3	Q62233	Q9BQ49
E2RB46	Q3SZ57	D3ZCC2	O08792	Q9NPL8
F1PXG1	F1MX93	D3ZIA7	Q91V81	Q9BSK1
E2RC59	E1BK51	Q9Z2F5	Q91WB4	Q8NHW3
J9PAD0	Q5BIP5	A0A0G2QC10	J3QPP8	Q2M3C6
Q5XXR2	F1MIH6	A0A0G2JSH6	P81615	Q96KA5
E2QXQ5	Q32P77	P70534	Q61168	P05120
E2QXP1	Q1XF11	B1H248	Q9CPR7	O94885
F6UV44	F1N1L0	Q5BJX4	Q8K3Q4	Q8N9Z9
F6UNU8	F1MTL5	P04563	Q64705	Q8IWY9
J9PB70	Q2TBK5	F1LWX6	E9PW83	P27540
E2R253	F1MQ69	F1LXT8	Q9WVC8	Q8WXE1
E2RGE5	A0A140T8A9	P27274	Q1RLK6	Q13362
E2R113	F1N2F8	Q9WV63	Q8BYN5	P41217
E2R1J7	Q2NKZ4	D3ZHQ6	Q9JJZ5	Q9NVV5
J9P713	A4FUH7	D3ZQ18	Q9QZN3	Q53XL7
E2QVW6	Q3MHZ4	D3Z8Z2	Q571F5	Q8NHV9
J9P918	F1MLB5	M0R6Q6	P48614	Q13363
E2QUH3	E1BC73	P33124	Q3UZP4	O14523
F1PE99	F1MIV1	F1LPY6	O08969	P57087
F1PTV4	E1BJG8	D4AE74	Q6F5E0	Q7Z444
J9P8C6	A3KN27	P35427	Q3UWE6	Q9ULS6
F1PBW7	F1MH30	Q5M971	Q8BZF8	P11487
J9P6A7	A5D7N9	P16409	Q9DAK3	Q5SRE7
E2QWI7	Q1JPC8	G3V802	Q3UMW7	Q9Y3Q4
E2RHR9	G3X7L0	F1LQ83	Q8C147	P04179
J9P8Q0	F1N7K7	Q02294	Q9DD20	Q86XR5
F1PF33	E1BK17	Q9ESV6	A0A0R4J0M9	P78524
E2RIR5	Q08DQ3	E9PTE5	Q8C7F9	Q8NHL6
F1PQ27	E1B8G9	D3ZWW5	Q00519	Q9BV36
Q5KSV9	Q5EA94	D4A2I9	Q0P547	P0DME0
J9NYK4	F1MZL4	A0A0G2KB69	Q8BMD5	Q9Y2V0
A0A0B4J197	Q32KP7	F1LML6	O35425	Q9Y2L5
E2REA1	Q3T191	E9PT13	Q3U186	P18283
F1PFK1	F6PVB0	G3V8L6	P27782	Q2KHM9
E2RE76	F1N1R0	A0A0G2K785	Q9QY84	P40394
J9P946	F1MQF0	M0RA86	E9Q3R6	P30556
E2RRM5	G3N3T4	Q499V3	G3X9M3	Q86T65
E2R4Q2	F1MXF5	M0R613	Q99ML1	Q14451
J9NXJ4	F1MEL3	D3ZBM4	P51885	Q9Y2H5
E2QSF1	F1MQJ0	Q9QZQ4	F8VPQ4	Q8IXH6
E2R962	F1N5R0	Q63634	F7A0H7	Q8N5U0
E2QYD2	A8YXZ6	Q5XIQ6	Q08024	Q8N9F8
D3YJ60	Q0V7M4	F1M8Z0	Q64691	Q9BWF4
Q9GK08	F1MZ10	Q5XIB0	Q9JJ80	O43463
E2RC89	E1BHF7	G3V6N8	P01882	Q96DB2
F1P9Y4	Q2TBQ3	D3ZYB8	Q3UHH8	P23921
P61010	Q28073	Q6AXS4	Q924H2	Q9Y266
J9NXD2	P79343	P37199	P97861	P28222
E2RR92	F1MM93	F1LU71	Q9DBI0	O00458
E2RR38	A5D7T0	G3V8W6	P70274	O60462
F1PA11	Q56JY0	B4F7B2	A2A8R0	Q9UIV1
J9P583	F1MJQ2	Q63750	Q05512	I3L0A0
