E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
E2QXZ8	A5H027	M0RDZ6	Q9WTW3	P08727
J9P3S7	Q2KI89	F1LMW2	Q8K4R4	Q9UBU7
F1P610	P04696	D3ZD46	O09012	Q02447
F1P7D7	Q2KII7	P19944	Q8VDX6	O43306
E2QSF1	G3X6H0	Q7TMA5	Q921K9	Q53HU0
J9P6T1	A5PJW9	Q7TQ89	Q3UN58	Q96B21
J9NX80	E1BJH3	Q6NX65	Q61382	Q13148
E2R0J1	G3N1P2	P63138	Q9DA77	P43362
E2RH73	F1N085	Q5XID6	Q8K3D3	Q8NBR6
F6XQY5	E1B9M6	Q5BK10	Q80VH0	P56703
J9P094	F1MDM0	F1LWH7	Q8K4F0	Q659A1
J9P780	Q08DA0	Q4V8I9	Q3UND0	Q9NR31
J9NTP6	E1BLZ4	A0A0G2JW72	Q6VMN6	Q96T83
F1PNA1	Q0VCI2	D3ZJQ5	Q64327	Q9H7E2
E2RSX9	F1MG95	A0A0G2K302	D3Z742	Q9Y5S8
E2RN66	F1MRQ8	A0A0G2K364	F8VPJ6	Q86YA3
J9NRG9	E1BJ13	P08485	Q9D1H0	Q9BRT2
F6UU26	A0JNC1	E9PU29	P97814	Q96FZ7
E2QVB8	A6QLF9	P34975	Q2LA85	P20671
F1PED2	Q32KP0	Q9JI12	Q9D3J9	Q16134
F1PXZ4	G3X6N5	Q3KRD0	Q9D7C9	Q8N3Y7
F1PVU2	Q2TBK5	P56261	G5E8F8	Q15257
P33706	B1H0W5	D4ABB4	O35973	Q9Y2D5
F1PFH0	F1MI16	Q66H63	P62342	B4DJ93
F6UVZ9	A6QLU2	A0A0G2K7Q2	Q60675	Q96P48
E2RLT7	A5D7U2	D3ZWR8	Q9CZK9	P21730
F1PHW9	Q6QTG9	D3Z7Z5	Q9JHS4	P10523
J9NS01	A5PJT7	D4A578	Q62150	Q6JBY9
E2RG38	F1ML80	A0A0G2JX30	Q80X32	Q400G9
E2RJK2	F1N2L8	Q0ZFS6	Q91Y11	Q9BYS1
F1PHG2	E1BK29	D3ZTA7	A0A0N4SV26	P78356
F1PWC9	A4FV78	A0A096MJH9	Q64687	P54753
E2R7W7	Q2KI41	D3ZQM3	Q8BZM1	Q16665
E2RML7	E1BDI3	F1LPG6	Q6PCX7	P43088
E2QRX3	Q2TBW2	O35276	G3X9B2	Q96PL5
F1PB10	E1B7W1	O70513	Q07797	P06756
F1PIS7	F1N548	G3V8W1	P08032	P08865
E2RHZ9	P13696	O70150	B9EHK7	P04908
E2RFJ7	P00829	D3ZD23	P61458	P05161
E2RFM5	F1MVZ3	Q09429	Q62192	P14927
E2QSZ5	F1N1L4	D4A129	Q6PFD5	Q8N8R5
F1PTW8	Q5E9Y2	A0A0G2K7B7	Q3UDR8	Q14315
F6UUZ0	F6RRS7	B2RZ69	Q3UGM2	Q5FWE3
F1PHN8	F1ML91	G3V9A7	P56481	Q99500
E2RT75	E1BKU0	Q3ZAV1	Q9QXW4	O43392
E2RFC5	F1MUT8	Q5BK13	Q3TWF9	O75592
J9P105	A5PK29	D4A2T5	A0A0R4J0D8	Q8N3F0
F6XV93	F1N7B3	D4A5M2	Q9D1B9	Q969S6
E2R4T6	F6QKI1	Q99M75	A0A0A0MQA2	P15173
J9P804	Q2NKY9	B2RYG8	P25918	P11509
E2RDK4	F1MRZ2	A0A0G2JVU1	Q8R4V4	Q9UHE8
F6XNC1	G3X698	Q5M840	A2A4A1	Q15113
E2QZC6	E1BGK1	E9PSW6	D3Z224	Q9HCE6
F1Q0G5	F1MTT7	Q6QI44	Q99M03	Q9NZI7
F1P896	F1MSB6	G3V8X8	B9EJ80	P56589
E2R551	E1BAR2	D4AA67	D3Z5G3	Q9NPI6
J9P778	E1B9L6	A0A0G2JUC1	Q9CY55	O75409
E2RN60	A1A4N2	F1LQX2	Q61143	Q8NEB7
E2RP22	F1MFH4	A0A0G2K9K0	A0A140T8T7	Q05835
F1PB59	A4IFP3	Q3MIE9	P16015	Q5SVS4
J9P6X1	E1BA58	D3ZL83	Q8VCX2	Q99941
E2RCV9	E1BFQ0	D4A7P2	Q3U1T9	Q6ZP65
F1PZL3	E1BPC3	A0A140UHY0	Q7TT36	O43261
J9P8Y3	Q1JQD4	Q6DKY7	Q8VCC1	P98169
E1B2G6	F1MKA0	Q9QWG5	Q8R459	P23434
Q9N0Y3	E1BFL2	A0A0G2K9N3	Q922S8	Q6QHF9
F6Y8N2	Q02371	A0A096MKB0	D3YVV3	P51685
E2R1Y2	Q3MHW1	Q9JKC1	Q9CR40	Q92890
E2R161	F1MBT6	A0A0G2QC60	Q9ERR1	P60953
E2RLQ8	F1MVK3	D3ZFA2	P97428	P10153
E2RKV7	E1BKL4	O08961	Q8C985	P14770
E2QYR5	G3X7E3	Q8R2H7	Q8BWP8	P14923
F6ULD4	A1A4J3	Q63531	Q99LH4	P18858
E2RE87	F1MG18	P0CAX5	Q9CX98	L0R5A1
F1PFE8	Q28068	P48303	Q9D6G9	Q66K74
E2RPP2	F1MU34	A0A0G2JZX7	Q9CR21	Q7Z6E9
F1P669	F1MWJ3	Q5M849	Q9WV80	Q9H6I2
F1PC52	Q2KJA5	P29476	B1ASM0	O95239
E2RFH1	E1BGP1	D3ZH78	Q91W89	Q9NS26
F1PYS6	F1MTI2	Q5XI04	A0A0R4J1G5	Q8WV35
E2RKA8	E1BI43	O08701	Q9Z121	O95393
F1PHF2	F1MXX8	P52847	Q6NS69	P01880
E2R466	Q17QZ3	D4A1U4	P70181	Q96RI1
J9NS02	Q05B51	D3ZZ13	Q6P1I3	Q96BP2
J9P0Z9	A6QLW2	A0A0G2K240	Q9D529	Q9UI17
E2RSI0	Q2KJ77	A0A0G2JUG7	Q91WJ7	Q8IUR5
E2R070	F1MMG1	F1M8G4	D3Z5B4	Q9UI09
F6V7Y8	E1BDL0	D3ZIB0	Q8CII8	Q8N0Z3
F1PHF6	F1N4Q3	Q6PW51	Q00896	P30493
F1PA09	F1MIQ7	F1M378	Q9CWN7	Q8N9J2
E2R7C3	A1A4K7	D4A9N8	Q99N36	Q92527
F1PCI3	A5PK65	D3ZFK9	Q91WW6	Q86WZ0
F1PM71	E1BDF5	D3ZHM7	Q3THS6	P17097
E2QSH3	F1MCG0	D4A4I9	Q8BFQ8	P19086
E2RTI7	A7E350	Q5KTC7	Q9D0M3	Q15477
E2RLS9	G3MYE6	G3V8B2	Q67BT3	Q2M2I8
E2R5N6	Q29S00	D3ZY10	A0A0R4J2D4	Q9NYX4
J9NW40	E1B7M5	D4A7F7	O70318	P51948
F1PXW8	A5PKD4	P11384	Q8K0E1	O60493
E2RJ94	A4FV22	F1LQF5	P34971	P61221
J9PA42	A6QQN2	D4AED2	Q9ERF3	Q6T4R5
F1PZL7	Q2HJF7	D3ZTG2	Q99KH8	Q6Q788
E2RTB7	G3X6E8	G3V8N1	Q9CZ28	P55201
E2RMW8	Q58CX6	F1LVF9	Q2YDW7	Q96RT7
J9P3J1	E1BBB7	A0A0G2JX95	Q9CS84	Q5VVX9
F1PF32	E1BNK7	D4A9U9	B2RQA1	Q7L7W2
E2RC60	F1MGS3	B1WC88	Q91WN2	Q96RL1
E2RFQ2	F1MDA6	D3ZB99	E9PZP8	Q9NS56
E2RRE3	A7MB03	D4ADC2	Q06649	Q9Y336
F1PCQ0	G3X737	A0A0G2JSJ1	A0A0R4J0V4	Q00887
F1Q4J6	F1N0D5	G3V723	Q9D1F5	Q9UQ03
J9PAN6	A0MTF4	P63035	Q9JJN5	Q3MIS6
E2RKG0	E1BJ19	D4A930	Q9D0B6	Q9NX01
E2R0H4	F1MED7	F7F5P4	P49222	Q5EBL2
F1PEE6	E1B7E6	F1LM32	Q9D7Y9	Q96PN7
F1PYC0	G5E5B6	Q925B5	Q9D232	Q9NYI0
E2RGB4	E1B957	D3ZT16	Q8BWS5	Q59FY4
F1PWS4	Q5EA60	A0A0G2JTL6	P97479	Q5JTV8
F1PAR9	F1MC08	G3V7W7	Q9R1C0	O76075
E2R7L1	A5PJV7	B4F7F1	D3Z5S8	O43813
F6UV19	F1MI99	B2RYB1	Q8BGS7	Q56A73
E2RMK9	E1BNF8	P48721	Q9ER74	Q9BYR0
F1PB52	F1MF38	O35186	Q8BW93	O00428
E2RPW5	F1MTB5	P61016	Q61357	Q8IYM0
E2RK48	E1BP50	A0A0G2JXP1	Q8VEJ9	Q9Y3E2
E2RKI6	E1BMF6	Q5XIJ7	Q9CZJ6	P59665
J9P4M6	Q02375	G3V9U1	Q9CWY8	P01189
E2RDU7	F1MFA2	D4A2D8	Q8BG51	Q96NM4
E2RBE2	F1ME77	Q75N33	Q8BXR1	O76036
F1Q3P6	A4IFF6	A0A0G2K8X4	A0A0R4J0F7	P60201
F1PXY1	E1BDQ3	D3ZA82	Q8CGP0	Q99807
J9P056	E1BCJ9	D4A5C3	Q7TQA3	O75907
F1PB81	F1MG93	A0A0G2JSR8	Q14B71	Q16832
E2QUB5	E1BC22	A0A0G2JVA8	O08734	Q6P1N0
F1PH39	F2Z4J0	F1M9C9	A0A286YCP6	Q8N961
E2RRC8	G3N0U2	F1LR31	Q8CI37	Q08E77
F1P830	G3MXC4	G3V6B5	Q9WV04	P56962
F1PJ93	A5PJJ5	F1LPY2	Q9EQR5	Q5XUX1
F1PUX2	F1MK14	Q91ZK1	Q9D0V8	P13807
E2RSG5	F1MSG2	D3ZD88	E9Q6P5	O14771
F1PQH9	G8JKV2	Q5XIX3	Q9CY73	Q9H6Z4
E2R5U3	F1MI94	D3ZRE1	Q5SVT3	P01011
F6Y875	A6QPY1	F1LY25	Q3TQQ9	P29373
J9NS35	Q4PJK1	D3ZQT7	O35904	O95150
F1PYM1	F1MLZ5	Q62771	Q3TA38	Q9UHC7
F1PTD6	G3X6P1	D4A1F2	P70704	Q9H596
F1Q1K9	O77788	D3ZWD2	Q8C341	Q6UWL2
E2RBK3	A1L5C6	B2RYS4	O35684	P28906
E2QW30	E1BMH7	Q6PCT8	Q80TA6	Q96CS2
F1PGP9	G3N0I7	Q5RKH9	A0A0R4J100	Q9BUV0
F1P842	F1N1C7	Q6AYK4	Q8CI85	P09488
J9NV59	C5NU11	O88900	S4R270	Q9ULU8
E2R5T1	E1BMU6	P61206	A2AWF2	Q5I7T1
E2RRI3	F1N784	A1L122	A0A0B4J1L1	P63272
E2QY74	Q2HJ98	D3ZQL9	Q3URK3	Q8N5C7
F1PDK1	Q148E6	Q9Z0W7	P97493	Q96QD9
J9NXU9	F1N1G2	D3ZTD6	Q5NCC9	P51648
F6UZT2	E1BFU2	P19945	P02716	Q9UEW3
F1PEE8	E1BH39	Q5XIH0	P35438	Q5MNZ9
F1PKC8	E1BIG0	B2GV91	Q6ZPR4	Q8WZ82
F1PDC5	F1MNJ9	F1M0J7	Q9D0E5	Q6NVH9
E2R1M3	F1MMH1	D4A411	Q9D8Z6	Q92886
F1PMA7	F1MWA2	P86173	Q9D1J3	Q9UJT0
E2R4Q0	F1N7X5	Q9R175	Q8BU36	P54793
F1PT26	E1BCV2	G3V7I6	A2A7P4	Q4G0X4
E2RMX2	F1MML8	D3ZHG7	O35424	Q86W33
F1PY89	Q1LZ86	D3ZH76	P01869	A6NIM6
F6Y4W8	F1MX62	D3ZNK9	Q9D828	Q9UPB5
J9PB12	A0A140T8C8	F1M8F1	Q80XL7	Q7L5L3
J9NRQ4	E1BAG2	M0RC65	Q8BH69	Q8NDD8
J9P6J9	F1MIC8	M0R8T2	Q7TS74	Q9Y3P8
J9NZX5	A6H7I0	Q68FU3	Q8K4K3	P62736
J9P4E6	E1B8L3	E9PSN7	E9QAE1	Q96I45
E2R9E3	Q95KU9	Q91V33	Q9Z2V5	P55008
J9P6A5	E1BCR1	A0A0G2K1Q8	Q03350	Q01974
J9P737	Q3T124	P62697	S4R1Y1	P50897
E2QZH1	F1ME94	Q99P67	Q9Z1K7	O75487
E2RH51	E1BN97	Q5U2W4	Q9Z1M2	Q99426
E2QXR5	F1MSD7	P30121	F8VPT6	Q96LS8
J9NY70	P82924	Q5PQN9	Q91VA6	O60216
J9P810	G3N2F7	F1LN94	P20612	Q9UKX3
F1PN55	F1N126	Q4V7E5	A2AJW5	Q9BTB7
E2R1D2	F1N1Z8	B0BN30	Q8CHC4	P07949
F1P9W3	Q17QE6	D4A9J3	O89032	O94927
F1PPK2	E1BDL9	D3Z9L0	G3X925	Q5VIY5
E2RHB8	F1MPK2	D3ZZB0	D3YYI6	P14679
E2QXJ0	F1MJR5	F1MAB2	Q7M6Z0	Q9P253
E2RAD3	Q2NKS9	A0A0G2K618	P16056	O00299
F1Q1M4	P47803	F1MAK4	Q5DU09	Q9C0D7
E2RIA1	Q58D08	A0A0G2K4P5	Q60780	Q86XN6
E2RTH0	F1MBV2	G3V706	Q8K258	O95455
E2RK73	G3MZ22	A0A140TAJ1	Q6P6M7	Q6UXS9
F1PG88	E1BDZ2	Q6AYC6	Q8BP78	P53355
F1PJ55	F1MYF4	M0R6X7	P56388	Q86TH1
F1P8E1	F1MW52	Q5PQR1	O35385	Q8TAF3
F1PD92	F6Q4V7	D4ACY1	P63115	Q9BSD3
F6Y2L8	A7MB51	B1WC97	O70518	Q9NS39
E2QYC8	A0A140T829	Q66HI4	P30561	Q86T29
E2RHR9	G3N2L3	G3V7M4	Q9JKF6	Q9H061
F1PA82	P55203	Q6UN82	E9QAP1	Q96A83
F1PHS8	F1MKB9	F1LW29	A0A0G2JF13	P32248
E2QWR5	Q3T0F7	A1L1L5	Q6P9P6	Q9P2K5
E2QXG3	F1N769	Q642B2	Q5NCM1	O75129
E2REL8	Q3B7N9	Q6AXQ2	A6H687	P54851
Q8HX86	Q6H320	P84082	P59034	Q9NR48
F1PRN5	A0A140T858	D4A1C1	Q8BXR9	Q13442
F1PZE5	F1MWH2	M0RAP6	G3UWG2	P05109
E2QVE3	Q08DB3	A0A0G2K8F2	Q9DBC3	Q9HCE3
E2RL63	F1MX59	P62994	Q9JLV5	P0CG48
F1PPS9	Q56JW7	D3ZN56	Q63955	P78367
E2RE23	E1BGJ6	Q63358	Q63ZW6	Q86VP1
E2RL38	Q8SQB8	Q5FVM7	Q9D3P8	Q12983
E2RE88	F1MZY9	O70608	Q8K088	P0C7M6
J9NW23	F1MDZ7	Q6AY76	P52785	B1AHC3
E2QZF1	F1MPR3	P67874	Q60972	Q9BRV8
E2RI00	E1BP55	M0R9G9	E9QPB2	O19626
F1PT52	F1MQ86	A0A1B0GWU6	Q14BN8	Q9H7S9
E2RC51	F1N5S1	D4A628	P0C242	Q7Z3Z2
E2R7B6	F1N3T5	F1LSR7	A6H663	Q9BXA9
J9P224	F1MVK6	Q6IRJ1	Q14BI2	P22897
J9P5Y6	F1N0D7	D3ZCM9	Q9JJ59	Q9H1Y0
F1PVE4	F1MQ41	Q8K1P9	P33175	Q15323
F6ULC3	F1N1K8	D3ZQC6	Q80WW9	Q14442
E2RFA0	E1BL53	Q6MG59	Q9WUL7	Q71UZ1
E2RJ82	Q32LK9	Q0D2L3	P20693	Q9NQX3
F1PRY7	A2VDQ3	B5DFL0	P08121	Q96L91
E2RFA6	E1BGM6	D3Z9K4	O54804	Q53H54
J9JHT3	C4T8B4	G3V735	Q78IK2	Q9UJX4
F1Q0G0	A4FUD2	Q6IRG7	Q9DB43	Q9Y5X2
F1PZH7	F1MB06	D4A4Y5	Q8C7Q4	Q8IYS1
J9NSP3	G5E5K9	P15999	B1ATX6	Q8IVG9
J9PAC2	E1BH49	Q6I8Q6	Q8CIR4	P30989
E2RNY3	F1N241	O54783	Z4YJC9	Q6PIJ6
J9P2X0	F1MXS5	P24898	A2RTU1	P51582
J9NX85	F1MRG7	Q9R0T4	P16125	Q16820
J9P0E3	Q08DI5	Q66HA6	A2APF3	Q9BU20
F1PET4	E1BET1	P62268	Q91V57	Q8TAM1
E2RR15	Q0II25	P56500	Q6NXN1	Q86UK0
F1PLU9	F1MM05	P53817	P35378	O95602
J9NXB2	G3X7J4	D4AEK7	Q06507	Q15653
F1P6A7	F1MM93	D3ZXJ3	Q7TML0	Q8NBU5
E2R060	F1N662	A0A140UHX6	Q8BP27	P80188
F1PS59	F1MTT6	Q62632	Q62181	Q8N988
J9PBF8	F1MM31	F1LPP6	Q9D2Z6	P51693
H9GWF4	G3MYQ9	O08816	D3YUE4	Q9P2L0
E2RHS4	Q2T9X3	Q6DGF4	Q8BYH0	Q9BQ87
F1PH47	Q2KJA4	D4AEL4	Q8C7B6	Q9ULK0
J9NUB5	F6R5F6	P85970	P97327	O60487
E2QUQ2	E1BC89	A0A0G2JSM2	O08691	P01137
E2RNM7	G8JKW0	Q6PDW6	Q99MB1	Q7Z3I7
J9P8D7	F1MW55	D4AAE7	Q9Z2J0	Q8N1B3
F1Q293	Q3MHI7	A0A0G2JZB7	Q9CZ92	O60765
F1Q0K3	E1BAK9	Q6AYC8	Q8QZZ7	O96017
F1PVR0	F1MLA4	D4AB29	O88829	Q96LD1
F1PPE0	E1BDV8	F1LX95	Q9D4R7	Q9Y264
F6Y6V7	Q08DN5	A0A0G2JXT6	Q8CBC4	Q96IZ5
E2R6X1	E1BH29	F1LQU9	Q9Z2M6	Q9UK58
F1PC30	Q2T9T3	O08874	Q8BZP8	Q8IX05
E2R656	A2VDL9	Q6IE55	Q8CC88	Q9H3R0
E2R1J1	F1MD94	F1LSV2	F8VQM5	Q674R7
J9P880	F1MDF3	D1M8S3	A0A0N4SUL9	Q92979
J9NVC6	A7E309	B1H286	D3Z5N8	Q7L5Y6
F1PCE1	Q2KI84	G3V9E0	Q8CD10	Q8IW36
E2RHN0	F1MHG1	A0A0G2JVF0	Q8JZX7	P43657
J9NW63	E1BIR3	P25109	E9Q8Q7	O75364
E2R971	Q9XS59	D3ZLM6	D3YZ21	Q8NDV2
E2RDR0	G3MYR6	Q58DZ9	Q3UFC6	Q13387
E2RR88	A6QR38	F1LTE6	Q9EQS9	Q96PN8
E2RQT3	E1BPB5	Q6TMA8	P33534	P43699
E2QW90	F6QEL8	Q4QQW5	O54926	Q9Y2F5
E2R3T3	Q2KHZ6	A0A0G2K3I3	Q8C152	P51795
J9P2F9	E1BGH1	P52500	Q9D2N8	O43181
F1Q0T2	F1ME49	A0A0A0MY39	P51437	P53370
F1Q4K8	E1BCG1	M0RCA6	Q8BXL9	Q9UKX7
F1PGD5	Q2KJB9	Q5M949	Q8JZK9	Q9H0Z9
F1PRL8	Q2HJ75	O54963	Q00941	Q6NT16
F1PSR4	A1Z2Z3	Q2KN99	Q8BIV7	Q8N729
E2RAX6	Q3MHN8	A0A0G2JW69	P97762	A8K3H8
E2QV61	F1N158	A0A0G2K947	O35457	Q15642
B3XXF2	Q8HZJ4	Q06226	P09632	O95271
E2RP35	G3MZY4	P56374	Q0KK59	O95219
F1PHB6	P67810	A0A0G2KA95	Q9EPR5	Q9UBV2
E2RS95	P0DPE2	D4ABB3	Q9D2H9	O75271
J9NZS9	Q9GK68	O70153	Q99PM3	P17612
J9P2N1	A5D7K8	D4AA54	Q91YI1	Q6UUV9
E2RSV4	G3N3R6	Q6TUD4	F8VPK8	P48788
E2QUV2	Q5E9S9	Q02975	D3Z5L9	Q9NP91
F1PT92	Q32PI3	Q5RJK9	P81270	Q00688
F1Q1F5	F1MIX9	A0A0G2K2S5	Q9D032	Q8WUM4
E2RFG1	F1N2G1	B5DFG5	Q61087	Q96DY7
J9NWV7	F1MZC4	F1M9Z9	Q9QYK9	O00255
E2RJJ5	F1MEW8	Q9JIS4	Q99JX1	Q5VWQ0
E2R3S0	A7Z051	F1MAL5	Q8BIJ6	O15535
E2RKM5	Q3T0Z0	M0R9I6	P12399	O75391
F1PPY7	G3N1E1	B4F770	Q8C522	Q13163
E2RPC3	F1MCM1	O35921	Q8QZX0	Q8WVC6
J9P840	G3N3M0	F1LV52	Q504N0	Q9UHV2
F1PK29	F1MIH7	A0A0G2K214	Q8C0V0	Q15036
J9P3D1	P02633	Q9JKC9	Q9QXT8	Q6NYC8
E2RQK4	F1MJS8	D3ZVB9	Q3UHQ6	Q96A29
J9NWL3	F1MGY9	F1M7P7	Q8CC70	B4DT77
J9NYI0	E1BJU4	Q63638	Q9D5S7	O60381
E2QZV3	A2VDS1	F1M154	Q8VBW6	Q9Y397
F1Q1G0	P35605	Q4FZR6	D3YTT4	Q8WVF1
E2R9F5	Q0P5N4	G3V8B6	P27661	Q7Z408
E2RCZ5	Q3ZC26	A0A0G2K7V6	P97298	P51460
J9NXH6	F1N1Q0	D3ZT54	Q99N48	Q15391
E2QXR4	F1MDA3	A0A0H2UHL0	Q810M5	P24530
E2RNP5	F6RWE0	Q6IFX0	Q8VDR7	P80192
E2R0W7	Q2KJ67	F1LUD9	Q7TT10	Q9ULG1
E2R0G9	P21146	D4A5S6	Q6P2K3	Q96CM4
E2R0S4	E1BG25	G3V8J2	P16301	A8MV65
E2R8S5	A1L4Z4	P26817	E9Q0T8	Q9BY44
E2RN12	E1B901	A0A140TAD0	A0A0R4J203	Q9UGU0
E2RFT8	A7YWD0	D3ZPL7	Q9Z0S6	Q6ZUA9
J9P8T4	F1N0Y1	Q6MFZ5	P25801	Q9P0U0
F1PGP3	F1N7B7	A0A0G2K7N9	Q9ERQ3	Q16795
P11616	Q2KIM1	P81556	O70622	Q7KZ85
F1PAQ1	E1BPQ9	B5DF94	Q8CE46	Q8WWN8
E2RHJ9	A8E4L1	F1LLX7	Q925H1	O14672
E2R7X5	F1MHX4	A0A0G2JTP6	P12804	H3BR10
F1PBV4	Q765N9	D3ZU07	Q3TCU5	Q5RL73
E2RAC9	Q2TBR2	Q6PDU2	P10810	P29972
F1PCL5	A5D7R1	P54282	P62317	Q15061
E2RCL5	F1MYM8	D4A746	Q6NZB0	P21854
E2QSA1	A5D7M7	M0R5Z2	Q65Z95	Q9UEY8
P62999	F1N2E4	D3ZSN7	P80560	Q8N448
F1PAB7	G5E6L2	Q5RKJ4	A0JNT9	Q16083
J9NY63	A6QLK6	D4A198	Q8CI17	Q6V1P9
F1P6Z1	F1MTK5	B1H294	A0A0R4J0K1	P83105
F1Q2M0	F1MG08	Q6MGD2	Q3UVR3	P11166
F1PN72	E1BG12	D4A4E5	Q8C7K6	P00915
H9GWA8	Q0IIA5	F1M6P3	P04214	P22362
F1PY51	A2VE72	F7EYQ2	Q9QUM4	Q96EZ8
E2RGE6	F1MKR2	O70531	Q5HZK2	P41222
E2RB01	F1MGJ6	D3Z7Y6	Q3V351	Q9BV23
E2R857	F1N3C5	Q5M964	Q7M6Y5	Q8N556
J9P6L5	F1MUK1	D4A934	Q9DBY0	Q96SJ8
E2R3L5	E1BDY3	D3ZTV0	B1AT83	A1KZ92
F1P8N9	E1BM65	A0A1W2Q6I6	P04228	Q07108
F6V8Q4	Q08DA5	Q5XIT6	Q3U1Y4	P60983
F1PKW2	A5D7C5	A0A096MK92	A4QPD3	Q9H2U2
F1PXQ3	E1BK57	Q9JKE7	Q8BPU7	Q8N3C7
J9P9I2	Q3ZC46	P35400	Q5SUD9	O75820
E2RID9	F1MLE0	Q0ZCA7	Q8BG58	Q9UJX5
J9P289	F1MPU8	B2RYM8	Q8BJX2	Q6ZMN8
E2RT37	F1N5V9	A0A0G2JT78	J3QNK5	Q03111
F1PZP1	E1BBZ1	A0A0G2K4L7	Q9JJA2	Q6PK81
J9P4G6	A5D798	A0A0G2JW79	O70303	Q9NXG2
F1PZL2	Q8WML4	Q9Z288	Q6PB51	Q9BT67
F1P8B0	G8BLB4	F1LNP8	Q8CGJ5	P21579
J9PA80	E1BG77	A0A0G2JZT3	Q14BU0	A0A0A6YYL0
F1Q0U3	P60902	D3ZBX9	Q80U23	Q86WQ0
E2QYJ3	F1MKU9	B2GV87	Q3ULD5	P53804
F1PLM0	E1BJX8	M0RC89	A0A087WRM8	Q00341
F1PG66	F1MCV3	Q6YH22	Q3SXK0	P61371
F1PIW6	Q05B63	Q9WU21	Q80SU6	Q9BT40
F6XRA9	Q3SZ56	Q9ER34	Q9CQX2	O76031
E2RKW2	A9Q1J7	F1M7N2	Q64249	Q9NR83
E2R535	E1BAK2	D4AE08	Q8R422	P22830
E2QWG2	Q3SZV0	D3ZQW3	Q8CJ26	P04553
F6V678	F1MT24	F1LVZ9	Q08122	P30044
F1PNB5	A8E648	Q63068	Q640M1	Q5EFE5
F1PTB4	E1BMK0	A7VJC2	Q6XP49	Q8WUI4
E2RLX8	E1B7Q8	G3V9W0	A0A0G2JGS5	Q6P3S6
Q30437	F1MXI4	D4ACR8	Q64514	A5D8V7
E2RFP3	E1BGP0	F1M7S3	Q91YQ1	Q8NEV4
K9J6P0	E1BN25	O70454	Q3TR20	Q6ICR9
F1Q3X3	F1MXQ1	Q68FW6	G5E8Z3	O95475
E2RFZ1	Q3ZCI6	A0A0G2K3P2	Q9DAX2	P24347
E2QT43	Q3MHJ9	P62628	Q8R1S0	Q9BYD1
J9P074	Q0VC89	D4A7F2	Q9JKV7	Q13007
F1Q0P7	E1BG78	A0A096MJV6	P61407	O14795
F1PAZ5	E1BDP2	F1M419	Q8R1E7	O43521
F1PTN4	Q0V8G2	Q9EPA0	P27814	O15403
E2R9R5	E1B800	A0A0G2JVK3	P97360	P49792
E2QY58	Q3T0I2	P19103	Q99LQ5	P21964
F1P9F1	A1A4P3	A0A0G2JZI5	P36371	Q59H18
E2QS83	E1B9U1	A0A0H2UHS4	Q5YD48	Q96P64
J9NX62	E1BN11	D3ZTH4	Q80YD1	Q70SY1
F6X8K8	A4IFK3	D3ZUT0	Q8CFE5	Q86T75
Q2KM14	F1MER1	Q62667	Q9QUG3	O43462
E2RAD6	A6QQ25	A0A0G2K7G5	P41593	O43318
F1PFR1	A2VE13	F1LUA2	A2APC3	Q6PIK7
F1PDN8	F1MG29	A0A0G2K0C8	Q9DAM7	P09001
E2RH80	E1BEP9	A0A0G2K4S7	Q3UPE3	Q9Y6R0
F1PCI9	Q2KIW1	P27213	Q8CHB9	Q8WWZ1
E2QUC1	Q1LZE2	G3V747	Q61702	Q9P266
J9P1N0	F1N6N3	A0A0G2K9T4	Q9CYC6	Q9BYN8
J9JHV4	G3N176	Q6AYT5	O88673	P25445
J9P0F3	A5PKK0	B1H230	Q3UNH3	Q8WWU7
F1PP83	E1BDL2	A0A0G2K8C5	Q8R0P4	Q14406
J9NYF4	G3N2I9	Q7M6Z1	P70280	Q9NQC1
E2QUU3	G3MXY1	Q5BJM7	P97368	O00292
E2QWW8	P07471	F1LPD7	P48756	Q9NV66
E2QVI6	A2VE55	Q9ESC2	Q9DA60	O15255
E2RE50	F1N6U5	D3ZH92	Q9CQJ6	Q8TAP6
F1PU07	E1B9W0	Q5M869	Q562E2	Q96RE7
E2RFX6	G3N3Y2	O70143	Q60710	Q99661
J9P5E0	P68401	P04638	Q9EQP2	O94851
E2RRL6	E1BFQ7	D3ZC60	Q8CEE5	P43629
E2R691	F1N3G9	F1LQ87	A0A087WSS7	Q8N1F8
F6Y6T8	E1BEB3	D3ZQM2	Q9DAK3	Q9NVX7
J9P1J7	F1N156	D3ZP78	Q8BTY2	Q92730
E2REF8	F1N7U2	Q8CGZ2	Q9D1G1	P24941
E2RNM4	E1BFF9	D3ZAF9	P48455	Q15116
E2QY38	E1BII6	D4A8G1	P52187	Q96QS6
E2QX07	E1BIX5	D4A8G0	A2AHZ2	Q02078
F6XRS2	F1MM54	F1M7M6	P13297	Q9P0I2
E2RLH4	F1MJA0	D3ZN93	Q61923	Q9UKB5
E2QYC2	E1B7Z0	Q5BKE0	Q8BP92	Q01201
E2QTV1	Q00194	D3ZV75	Q64264	O60706
J9NZV5	G3N1Z0	Q99JC6	Q8VIM5	Q9UNM6
E2RLN5	E1BDG9	A0A0G2K4J7	Q9JMA2	Q8TCU6
